items,count,total,rnd,customer,age,city,paymentType
"packaged fruit/vegetables,brown bread,canned beer",3,2236,11,Hanan,22,Fayoum,Cash
"rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins",7,1372,5,Shimaa,55,Port Said,Credit
"ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food",6,384,4,Adel,50,Alexandria,Cash
"rolls/buns,pastry,sugar",3,1743,8,Rania,37,Dakahlia,Cash
"other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent",7,2146,11,Hanan,22,Fayoum,Credit
"sausage,pastry",2,912,12,Eman,23,Aswan,Cash
"sausage,beef,whole milk",3,222,4,Adel,50,Alexandria,Credit
"frankfurter,tropical fruit,rolls/buns,brown bread,sugar",5,688,14,Magdy,36,Sohag,Cash
"rolls/buns,pastry,soda",3,1645,2,Mohamed,25,Alexandria,Cash
whole milk,1,453,1,Farida,22,Cairo,Credit
"curd cheese,coffee",2,2455,2,Mohamed,25,Alexandria,Cash
"red/blush wine,newspapers",2,1261,3,Ahmed,30,Giza,Credit
"sausage,whole milk,curd",3,975,5,Shimaa,55,Port Said,Cash
"tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate",8,1841,2,Mohamed,25,Alexandria,Cash
red/blush wine,1,1967,4,Adel,50,Alexandria,Cash
"whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds)",7,1853,14,Magdy,36,Sohag,Credit
"frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers",8,1479,2,Mohamed,25,Alexandria,Credit
"whole milk,meat spreads,soda",3,2097,10,Samy,55,Alexandria,Credit
frozen potato products,1,1759,4,Adel,50,Alexandria,Cash
"other vegetables,whole milk,rolls/buns,sugar",4,2142,9,Maged,60,Hurghada,Cash
"citrus fruit,whole milk,curd,butter milk,pastry",5,1390,9,Maged,60,Hurghada,Cash
"flour,salt,bottled water,fruit/vegetable juice,bottled beer",5,2079,1,Farida,22,Cairo,Credit
"sugar,bottled water,soda,bottled beer",4,242,12,Eman,23,Aswan,Cash
"frozen meals,coffee",2,1083,7,Huda,39,Gharbia,Credit
chocolate,1,702,10,Samy,55,Alexandria,Credit
"root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner",10,870,12,Eman,23,Aswan,Cash
"root vegetables,onions,hard cheese,frozen vegetables",4,454,12,Eman,23,Aswan,Cash
"herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles",7,328,13,Sayed,37,Cairo,Credit
bottled water,1,906,3,Ahmed,30,Giza,Credit
"sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent",7,2270,15,Sameh,35,Hurghada,Cash
"coffee,newspapers",2,1228,9,Maged,60,Hurghada,Credit
"pork,other vegetables,whipped/sour cream",3,563,14,Magdy,36,Sohag,Cash
"berries,yogurt",2,2353,4,Adel,50,Alexandria,Credit
soda,1,748,6,Walaa,29,Cairo,Cash
berries,1,705,7,Huda,39,Gharbia,Cash
"fruit/vegetable juice,salty snack,candles",3,1133,1,Farida,22,Cairo,Credit
"citrus fruit,butter milk,yogurt,cream cheese ",4,2133,5,Shimaa,55,Port Said,Credit
"pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate",9,1364,10,Samy,55,Alexandria,Credit
detergent,1,1319,5,Shimaa,55,Port Said,Credit
"grapes,photo/film",2,1737,8,Rania,37,Dakahlia,Credit
"sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags",9,2213,1,Farida,22,Cairo,Credit
"chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent",10,940,6,Walaa,29,Cairo,Credit
"whole milk,yogurt,brown bread",3,1072,14,Magdy,36,Sohag,Cash
"citrus fruit,tropical fruit",2,813,10,Samy,55,Alexandria,Credit
"soda,misc. beverages",2,1324,3,Ahmed,30,Giza,Cash
"sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner",9,838,6,Walaa,29,Cairo,Credit
"frankfurter,rolls/buns,bottled water",3,878,10,Samy,55,Alexandria,Cash
"sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags",10,1695,1,Farida,22,Cairo,Credit
soda,1,2087,4,Adel,50,Alexandria,Cash
"rolls/buns,fruit/vegetable juice",2,1025,3,Ahmed,30,Giza,Cash
"beef,citrus fruit,berries,root vegetables,brown bread,detergent",6,753,5,Shimaa,55,Port Said,Cash
"whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags",7,144,12,Eman,23,Aswan,Cash
processed cheese,1,764,6,Walaa,29,Cairo,Cash
"tropical fruit,pip fruit",2,163,12,Eman,23,Aswan,Credit
"frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes",10,1334,15,Sameh,35,Hurghada,Credit
"packaged fruit/vegetables,bottled water",2,623,7,Huda,39,Gharbia,Credit
"whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers",8,1141,15,Sameh,35,Hurghada,Cash
"berries,whipped/sour cream",2,2104,15,Sameh,35,Hurghada,Cash
"citrus fruit,berries,UHT-milk,processed cheese",4,2162,14,Magdy,36,Sohag,Credit
"tropical fruit,whole milk,yogurt",3,578,13,Sayed,37,Cairo,Credit
"hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine",6,1928,3,Ahmed,30,Giza,Cash
"hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes",7,924,15,Sameh,35,Hurghada,Credit
"whole milk,cream cheese ,soda",3,2289,8,Rania,37,Dakahlia,Credit
"fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags",8,312,2,Mohamed,25,Alexandria,Cash
"frankfurter,sausage,long life bakery product,waffles",4,1721,13,Sayed,37,Cairo,Cash
"packaged fruit/vegetables,dessert,semi-finished bread,canned beer",4,918,6,Walaa,29,Cairo,Cash
"pastry,soda",2,119,6,Walaa,29,Cairo,Cash
"other vegetables,red/blush wine",2,554,7,Huda,39,Gharbia,Credit
misc. beverages,1,491,3,Ahmed,30,Giza,Cash
"frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles",15,577,15,Sameh,35,Hurghada,Cash
sparkling wine,1,320,10,Samy,55,Alexandria,Cash
specialty bar,1,2109,14,Magdy,36,Sohag,Credit
"sausage,butter milk,rolls/buns",3,2403,6,Walaa,29,Cairo,Cash
curd cheese,1,717,11,Hanan,22,Fayoum,Credit
"frankfurter,dessert",2,1126,4,Adel,50,Alexandria,Cash
"whole milk,yogurt,beverages,brown bread,shopping bags",5,1316,6,Walaa,29,Cairo,Cash
newspapers,1,1854,11,Hanan,22,Fayoum,Cash
"berries,soda",2,179,9,Maged,60,Hurghada,Credit
"curd,flour,liquor (appetizer)",3,1103,7,Huda,39,Gharbia,Credit
"tropical fruit,other vegetables,coffee",3,1622,14,Magdy,36,Sohag,Credit
soda,1,892,15,Sameh,35,Hurghada,Credit
"rolls/buns,Instant food products",2,321,5,Shimaa,55,Port Said,Credit
canned beer,1,1501,15,Sameh,35,Hurghada,Cash
canned beer,1,111,1,Farida,22,Cairo,Credit
"frankfurter,sausage,whole milk,rolls/buns,margarine",5,1479,15,Sameh,35,Hurghada,Cash
"other vegetables,misc. beverages,canned beer",3,1797,15,Sameh,35,Hurghada,Cash
"whole milk,frozen vegetables",2,1084,3,Ahmed,30,Giza,Cash
whole milk,1,2249,10,Samy,55,Alexandria,Credit
"citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers",7,1819,14,Magdy,36,Sohag,Cash
"frankfurter,rolls/buns",2,2375,9,Maged,60,Hurghada,Cash
"frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder",10,1379,11,Hanan,22,Fayoum,Credit
"butter milk,yogurt,honey,soda,detergent",5,2321,2,Mohamed,25,Alexandria,Cash
"hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care",6,2344,9,Maged,60,Hurghada,Cash
"pasta,popcorn",2,1290,6,Walaa,29,Cairo,Credit
"other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags",6,2386,13,Sayed,37,Cairo,Cash
"sausage,pork,citrus fruit,dessert,white bread,dishes,candles",7,512,2,Mohamed,25,Alexandria,Credit
rolls/buns,1,1894,13,Sayed,37,Cairo,Credit
"grapes,other vegetables,curd,dessert,yogurt,napkins",6,311,1,Farida,22,Cairo,Cash
"root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer",9,364,6,Walaa,29,Cairo,Cash
"coffee,shopping bags",2,2060,2,Mohamed,25,Alexandria,Credit
popcorn,1,1773,5,Shimaa,55,Port Said,Credit
"whole milk,rolls/buns,sugar,bottled water,soda",5,556,3,Ahmed,30,Giza,Credit
"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products",5,1721,15,Sameh,35,Hurghada,Cash
"beef,herbs,flour,cling film/bags,flower soil/fertilizer",5,596,6,Walaa,29,Cairo,Cash
"whole milk,butter,dessert,rolls/buns",4,1649,6,Walaa,29,Cairo,Credit
"frankfurter,soda,chewing gum",3,1352,10,Samy,55,Alexandria,Credit
"tropical fruit,specialty cheese,bottled water",3,488,3,Ahmed,30,Giza,Cash
canned beer,1,1597,14,Magdy,36,Sohag,Credit
"finished products,other vegetables,frozen vegetables,bottled beer",4,775,4,Adel,50,Alexandria,Credit
"beverages,soda",2,169,6,Walaa,29,Cairo,Cash
"hamburger meat,root vegetables,whole milk",3,2172,10,Samy,55,Alexandria,Credit
"whole milk,pastry,long life bakery product",3,1163,2,Mohamed,25,Alexandria,Credit
"finished products,white wine,shopping bags",3,427,12,Eman,23,Aswan,Credit
other vegetables,1,1983,7,Huda,39,Gharbia,Credit
"ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer",8,1201,11,Hanan,22,Fayoum,Cash
other vegetables,1,650,6,Walaa,29,Cairo,Credit
"curd,butter milk,cocoa drinks,salty snack,popcorn",5,2132,14,Magdy,36,Sohag,Credit
bottled beer,1,280,11,Hanan,22,Fayoum,Credit
"curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags",8,1873,14,Magdy,36,Sohag,Cash
"whole milk,cream cheese ,cereals,dog food",4,2028,8,Rania,37,Dakahlia,Credit
"whole milk,salt",2,1838,9,Maged,60,Hurghada,Credit
"dessert,ice cream",2,2292,15,Sameh,35,Hurghada,Cash
"sausage,soft cheese,coffee",3,183,5,Shimaa,55,Port Said,Credit
"other vegetables,bottled water,waffles,dishes,shopping bags",5,2459,3,Ahmed,30,Giza,Credit
"ham,whole milk,rolls/buns",3,2307,8,Rania,37,Dakahlia,Credit
"other vegetables,ice cream",2,2103,11,Hanan,22,Fayoum,Cash
"other vegetables,bottled water",2,2047,9,Maged,60,Hurghada,Credit
"soda,bottled beer,white wine,prosecco",4,1922,1,Farida,22,Cairo,Credit
"herbs,candy",2,1646,13,Sayed,37,Cairo,Credit
"frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles",23,555,4,Adel,50,Alexandria,Cash
"rolls/buns,canned beer",2,2066,2,Mohamed,25,Alexandria,Credit
"curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags",7,853,11,Hanan,22,Fayoum,Credit
"frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags",6,964,6,Walaa,29,Cairo,Cash
other vegetables,1,564,3,Ahmed,30,Giza,Credit
dog food,1,1183,15,Sameh,35,Hurghada,Cash
specialty bar,1,841,4,Adel,50,Alexandria,Cash
"curd,salt,liquor (appetizer),detergent,shopping bags",5,1544,11,Hanan,22,Fayoum,Cash
"frankfurter,rolls/buns",2,1352,14,Magdy,36,Sohag,Cash
soda,1,2085,12,Eman,23,Aswan,Credit
"beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread",7,113,13,Sayed,37,Cairo,Credit
canned beer,1,1120,14,Magdy,36,Sohag,Credit
"pork,beef,pip fruit,herbs,spices",5,572,5,Shimaa,55,Port Said,Credit
"frankfurter,citrus fruit,UHT-milk,margarine,sugar",5,1343,12,Eman,23,Aswan,Credit
"sausage,bottled beer,liquor (appetizer)",3,2461,11,Hanan,22,Fayoum,Credit
canned beer,1,2176,4,Adel,50,Alexandria,Credit
specialty chocolate,1,828,13,Sayed,37,Cairo,Cash
"curd,rolls/buns",2,1076,11,Hanan,22,Fayoum,Cash
canned beer,1,1961,11,Hanan,22,Fayoum,Credit
"whole milk,bottled water,newspapers",3,265,4,Adel,50,Alexandria,Credit
"rolls/buns,chewing gum",2,1901,10,Samy,55,Alexandria,Cash
"pork,root vegetables,other vegetables,whole milk,dishes",5,1702,11,Hanan,22,Fayoum,Cash
"citrus fruit,pastry",2,613,14,Magdy,36,Sohag,Cash
pot plants,1,876,11,Hanan,22,Fayoum,Cash
"rolls/buns,pastry,soda",3,2319,8,Rania,37,Dakahlia,Cash
"butter,yogurt,bottled water,soda,make up remover,hygiene articles",6,2178,8,Rania,37,Dakahlia,Cash
"condensed milk,sugar,coffee,shopping bags",4,378,5,Shimaa,55,Port Said,Cash
"sausage,other vegetables,yogurt,soda,shopping bags",5,1547,2,Mohamed,25,Alexandria,Credit
"whole milk,beverages,UHT-milk,soda",4,441,13,Sayed,37,Cairo,Cash
"sausage,pork,beef,whole milk,rolls/buns,margarine",6,1790,6,Walaa,29,Cairo,Cash
beverages,1,2209,14,Magdy,36,Sohag,Cash
"beverages,specialty bar",2,137,15,Sameh,35,Hurghada,Credit
"bottled water,fruit/vegetable juice",2,543,13,Sayed,37,Cairo,Credit
newspapers,1,1378,9,Maged,60,Hurghada,Credit
"cleaner,female sanitary products",2,1828,6,Walaa,29,Cairo,Credit
"sausage,soda,newspapers,shopping bags",4,1961,1,Farida,22,Cairo,Credit
newspapers,1,1383,5,Shimaa,55,Port Said,Cash
"sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware",12,1455,10,Samy,55,Alexandria,Cash
"misc. beverages,newspapers",2,1857,10,Samy,55,Alexandria,Credit
white wine,1,974,14,Magdy,36,Sohag,Credit
"sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags",6,1500,2,Mohamed,25,Alexandria,Cash
"meat,curd,bottled beer,cake bar",4,639,4,Adel,50,Alexandria,Cash
"frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags",8,1588,10,Samy,55,Alexandria,Cash
"ice cream,rolls/buns,canned beer",3,1525,10,Samy,55,Alexandria,Credit
canned beer,1,1938,12,Eman,23,Aswan,Cash
"tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags",6,437,15,Sameh,35,Hurghada,Cash
"meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water",12,743,4,Adel,50,Alexandria,Credit
"whole milk,mustard,bottled water",3,2326,3,Ahmed,30,Giza,Credit
"sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)",8,2404,4,Adel,50,Alexandria,Cash
"frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product",9,948,6,Walaa,29,Cairo,Credit
"meat,other vegetables,butter,rolls/buns",4,2413,11,Hanan,22,Fayoum,Cash
"root vegetables,beverages,Instant food products,pickled vegetables,detergent",5,1349,2,Mohamed,25,Alexandria,Credit
"root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns",6,529,7,Huda,39,Gharbia,Cash
"whole milk,whipped/sour cream,semi-finished bread,margarine",4,183,7,Huda,39,Gharbia,Cash
"citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins",16,1485,3,Ahmed,30,Giza,Cash
"citrus fruit,curd,pastry,margarine,sugar,candy,newspapers",7,2212,12,Eman,23,Aswan,Credit
"other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins",8,390,9,Maged,60,Hurghada,Cash
"citrus fruit,whole milk,rolls/buns",3,1541,2,Mohamed,25,Alexandria,Cash
"sausage,oil,hygiene articles,napkins",4,282,13,Sayed,37,Cairo,Cash
"frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer",11,1146,7,Huda,39,Gharbia,Credit
"hard cheese,rolls/buns,bottled water,newspapers",4,1175,3,Ahmed,30,Giza,Cash
"cream cheese ,rolls/buns,soda,chocolate",4,1542,10,Samy,55,Alexandria,Cash
"turkey,beef,frozen vegetables,dishes,photo/film",5,577,8,Rania,37,Dakahlia,Cash
"pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags",6,620,15,Sameh,35,Hurghada,Cash
"whole milk,beverages",2,799,8,Rania,37,Dakahlia,Cash
"rolls/buns,soda",2,2494,13,Sayed,37,Cairo,Cash
"sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles",9,905,7,Huda,39,Gharbia,Credit
ice cream,1,2186,11,Hanan,22,Fayoum,Credit
liquor,1,1875,13,Sayed,37,Cairo,Cash
"pip fruit,other vegetables,fruit/vegetable juice",3,1074,3,Ahmed,30,Giza,Credit
"root vegetables,other vegetables,yogurt",3,795,15,Sameh,35,Hurghada,Credit
soda,1,959,6,Walaa,29,Cairo,Cash
soda,1,462,2,Mohamed,25,Alexandria,Credit
"sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers",11,1361,6,Walaa,29,Cairo,Cash
"root vegetables,whole milk,pet care,detergent",4,2260,3,Ahmed,30,Giza,Credit
"pork,berries,root vegetables,other vegetables,pastry,specialty bar",6,2139,12,Eman,23,Aswan,Credit
pork,1,1567,10,Samy,55,Alexandria,Cash
chocolate,1,2030,14,Magdy,36,Sohag,Cash
fruit/vegetable juice,1,813,12,Eman,23,Aswan,Cash
"pickled vegetables,coffee",2,2385,14,Magdy,36,Sohag,Cash
bottled water,1,852,2,Mohamed,25,Alexandria,Cash
"frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices",7,882,10,Samy,55,Alexandria,Credit
"tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins",12,1044,13,Sayed,37,Cairo,Credit
canned beer,1,2163,15,Sameh,35,Hurghada,Cash
root vegetables,1,1604,14,Magdy,36,Sohag,Credit
"meat,citrus fruit,berries,root vegetables,whole milk,soda",6,1959,2,Mohamed,25,Alexandria,Cash
"frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles",5,906,11,Hanan,22,Fayoum,Cash
"tropical fruit,margarine,rum",3,1601,9,Maged,60,Hurghada,Cash
"tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles",8,516,7,Huda,39,Gharbia,Cash
"citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles",11,636,10,Samy,55,Alexandria,Cash
"hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice",11,756,10,Samy,55,Alexandria,Cash
"chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles",11,2371,11,Hanan,22,Fayoum,Credit
"chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns",7,1781,7,Huda,39,Gharbia,Credit
"frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda",8,572,4,Adel,50,Alexandria,Cash
canned beer,1,1102,5,Shimaa,55,Port Said,Cash
"turkey,pip fruit,salad dressing,pastry",4,2356,3,Ahmed,30,Giza,Credit
"packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages",10,1026,13,Sayed,37,Cairo,Cash
pasta,1,292,15,Sameh,35,Hurghada,Credit
"citrus fruit,tropical fruit",2,1692,15,Sameh,35,Hurghada,Cash
"sausage,whole milk,yogurt,rolls/buns,brown bread,pot plants",6,1339,5,Shimaa,55,Port Said,Cash
"whole milk,frozen meals,pastry,fruit/vegetable juice,waffles",5,2383,8,Rania,37,Dakahlia,Credit
canned beer,1,2370,13,Sayed,37,Cairo,Cash
"citrus fruit,sugar,sauces",3,2299,13,Sayed,37,Cairo,Cash
liquor (appetizer),1,622,15,Sameh,35,Hurghada,Cash
"citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags",5,269,12,Eman,23,Aswan,Cash
sausage,1,2035,11,Hanan,22,Fayoum,Credit
"chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers",9,337,3,Ahmed,30,Giza,Credit
"hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine",9,267,7,Huda,39,Gharbia,Cash
"sausage,pork,other vegetables,dessert,yogurt,oil,soda",7,656,5,Shimaa,55,Port Said,Credit
"beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner",6,2474,2,Mohamed,25,Alexandria,Credit
"citrus fruit,packaged fruit/vegetables,yogurt,bottled water",4,483,14,Magdy,36,Sohag,Credit
"UHT-milk,coffee",2,2279,7,Huda,39,Gharbia,Cash
candy,1,1051,8,Rania,37,Dakahlia,Cash
newspapers,1,143,5,Shimaa,55,Port Said,Credit
"beef,citrus fruit,other vegetables,yogurt",4,590,2,Mohamed,25,Alexandria,Credit
"sausage,rolls/buns",2,1120,2,Mohamed,25,Alexandria,Credit
"frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles,napkins",13,979,15,Sameh,35,Hurghada,Credit
canned beer,1,1089,4,Adel,50,Alexandria,Credit
bottled beer,1,256,2,Mohamed,25,Alexandria,Cash
"onions,soda,chewing gum,chocolate,newspapers",5,565,5,Shimaa,55,Port Said,Credit
"tropical fruit,packaged fruit/vegetables,cream cheese ,white bread,candy",5,2247,8,Rania,37,Dakahlia,Cash
"bottled water,white wine",2,660,5,Shimaa,55,Port Said,Cash
